tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000035614e-03
6.000000000000000000e+00,1.000000000000000000e+00,4.000000000000092024e-03
7.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,7.500000000000284217e-04
1.600000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
1.700000000000000000e+01,1.000000000000000000e+00,4.750000000000120445e-03
1.800000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.900000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
2.000000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.100000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.200000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.300000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
2.400000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.700000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.800000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.900000000000000000e+01,1.000000000000000000e+00,9.750000000000192540e-03
3.000000000000000000e+01,1.000000000000000000e+00,1.450000000000013431e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.600000000000019115e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.600000000000019115e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.600000000000019115e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.600000000000019115e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.600000000000019115e-02
3.600000000000000000e+01,1.000000000000000000e+00,1.850000000000005113e-02
3.700000000000000000e+01,1.000000000000000000e+00,1.925000000000007955e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.099999999999990763e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
4.100000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
4.200000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
4.300000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
4.400000000000000000e+01,1.000000000000000000e+00,1.775000000000002270e-02
4.500000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
4.600000000000000000e+01,1.000000000000000000e+00,2.099999999999990763e-02
4.700000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
4.900000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
5.000000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
5.100000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
5.200000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
5.300000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
5.400000000000000000e+01,1.000000000000000000e+00,3.050000000000014852e-02
5.500000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.600000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.700000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.900000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
6.000000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
6.100000000000000000e+01,1.000000000000000000e+00,3.375000000000003691e-02
6.200000000000000000e+01,1.000000000000000000e+00,3.624999999999989342e-02
6.300000000000000000e+01,1.000000000000000000e+00,4.025000000000016065e-02
6.400000000000000000e+01,1.000000000000000000e+00,4.025000000000016065e-02
6.500000000000000000e+01,1.000000000000000000e+00,4.025000000000016065e-02
6.600000000000000000e+01,1.000000000000000000e+00,4.199999999999999567e-02
6.700000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.800000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.900000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.000000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.100000000000000000e+01,1.000000000000000000e+00,5.325000000000006117e-02
7.200000000000000000e+01,1.000000000000000000e+00,5.475000000000011802e-02
7.300000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
7.400000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
7.500000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
7.600000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
7.700000000000000000e+01,1.000000000000000000e+00,6.450000000000014055e-02
7.800000000000000000e+01,1.000000000000000000e+00,6.450000000000014055e-02
7.900000000000000000e+01,1.000000000000000000e+00,6.450000000000014055e-02
8.000000000000000000e+01,1.000000000000000000e+00,6.450000000000014055e-02
8.100000000000000000e+01,1.000000000000000000e+00,6.450000000000014055e-02
8.200000000000000000e+01,1.000000000000000000e+00,6.925000000000007538e-02
8.300000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.400000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.500000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
8.600000000000000000e+01,1.000000000000000000e+00,7.649999999999987366e-02
8.700000000000000000e+01,1.000000000000000000e+00,7.975000000000012634e-02
8.800000000000000000e+01,1.000000000000000000e+00,8.050000000000015477e-02
8.900000000000000000e+01,1.000000000000000000e+00,8.050000000000015477e-02
9.000000000000000000e+01,1.000000000000000000e+00,8.050000000000015477e-02
9.100000000000000000e+01,1.000000000000000000e+00,8.125000000000018319e-02
9.200000000000000000e+01,1.000000000000000000e+00,8.300000000000000433e-02
9.300000000000000000e+01,1.000000000000000000e+00,8.550000000000021472e-02
9.400000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
9.500000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
9.600000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
9.700000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
9.800000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
9.900000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
1.000000000000000000e+02,1.000000000000000000e+00,9.674999999999993328e-02
1.010000000000000000e+02,1.000000000000000000e+00,9.674999999999993328e-02
1.020000000000000000e+02,1.000000000000000000e+00,9.674999999999993328e-02
1.030000000000000000e+02,1.000000000000000000e+00,1.000000000000001721e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.047500000000001208e-01
