tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
2.000000000000000000e+00,1.000000000000000000e+00,2.500000000000035614e-03
3.000000000000000000e+00,1.000000000000000000e+00,-3.249999999999886226e-03
4.000000000000000000e+00,1.000000000000000000e+00,-3.999999999999915082e-03
5.000000000000000000e+00,1.000000000000000000e+00,-5.749999999999921840e-03
6.000000000000000000e+00,1.000000000000000000e+00,-1.199999999999992219e-02
7.000000000000000000e+00,1.000000000000000000e+00,-1.199999999999992219e-02
8.000000000000000000e+00,1.000000000000000000e+00,-1.524999999999998579e-02
9.000000000000000000e+00,1.000000000000000000e+00,-1.924999999999989914e-02
1.000000000000000000e+01,1.000000000000000000e+00,-2.024999999999987921e-02
1.100000000000000000e+01,1.000000000000000000e+00,-2.024999999999987921e-02
1.200000000000000000e+01,1.000000000000000000e+00,-2.024999999999987921e-02
1.300000000000000000e+01,1.000000000000000000e+00,-1.524999999999998579e-02
1.400000000000000000e+01,1.000000000000000000e+00,-1.199999999999992219e-02
1.500000000000000000e+01,1.000000000000000000e+00,-1.199999999999992219e-02
1.600000000000000000e+01,1.000000000000000000e+00,-1.199999999999992219e-02
1.700000000000000000e+01,1.000000000000000000e+00,-1.199999999999992219e-02
1.800000000000000000e+01,1.000000000000000000e+00,-1.199999999999992219e-02
1.900000000000000000e+01,1.000000000000000000e+00,-1.199999999999992219e-02
2.000000000000000000e+01,1.000000000000000000e+00,-1.199999999999992219e-02
2.100000000000000000e+01,1.000000000000000000e+00,-6.499999999999950262e-03
2.200000000000000000e+01,1.000000000000000000e+00,-3.999999999999915082e-03
2.300000000000000000e+01,1.000000000000000000e+00,-3.249999999999886226e-03
2.400000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
2.500000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.700000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.800000000000000000e+01,1.000000000000000000e+00,1.125000000000007071e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.275000000000012755e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.850000000000005113e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.000000000000010797e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.000000000000010797e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.825000000000006325e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.825000000000006325e-02
3.600000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.625000000000007383e-02
3.800000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
3.900000000000000000e+01,1.000000000000000000e+00,4.425000000000008094e-02
4.000000000000000000e+01,1.000000000000000000e+00,4.600000000000008249e-02
4.100000000000000000e+01,1.000000000000000000e+00,5.225000000000008804e-02
4.200000000000000000e+01,1.000000000000000000e+00,5.225000000000008804e-02
4.300000000000000000e+01,1.000000000000000000e+00,5.225000000000008804e-02
4.400000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
4.500000000000000000e+01,1.000000000000000000e+00,5.950000000000006672e-02
4.600000000000000000e+01,1.000000000000000000e+00,6.050000000000003986e-02
4.700000000000000000e+01,1.000000000000000000e+00,6.050000000000003986e-02
4.800000000000000000e+01,1.000000000000000000e+00,6.125000000000006828e-02
4.900000000000000000e+01,1.000000000000000000e+00,6.775000000000001854e-02
5.000000000000000000e+01,1.000000000000000000e+00,6.850000000000004696e-02
5.100000000000000000e+01,1.000000000000000000e+00,6.850000000000004696e-02
5.200000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
5.300000000000000000e+01,1.000000000000000000e+00,7.650000000000005407e-02
5.400000000000000000e+01,1.000000000000000000e+00,7.650000000000005407e-02
5.500000000000000000e+01,1.000000000000000000e+00,8.300000000000000433e-02
5.600000000000000000e+01,1.000000000000000000e+00,8.450000000000006117e-02
5.700000000000000000e+01,1.000000000000000000e+00,9.250000000000006828e-02
5.800000000000000000e+01,1.000000000000000000e+00,9.749999999999996170e-02
5.900000000000000000e+01,1.000000000000000000e+00,1.007500000000000340e-01
6.000000000000000000e+01,1.000000000000000000e+00,1.087500000000000411e-01
6.100000000000000000e+01,1.000000000000000000e+00,1.095000000000000695e-01
6.200000000000000000e+01,1.000000000000000000e+00,1.167500000000000482e-01
6.300000000000000000e+01,1.000000000000000000e+00,1.167500000000000482e-01
6.400000000000000000e+01,1.000000000000000000e+00,1.240000000000000269e-01
6.500000000000000000e+01,1.000000000000000000e+00,1.247500000000000553e-01
6.600000000000000000e+01,1.000000000000000000e+00,1.320000000000000340e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.330000000000000071e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.377500000000001223e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.410000000000000142e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.410000000000000142e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.474999999999999645e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.490000000000000213e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.490000000000000213e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.547500000000001097e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.570000000000000284e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.570000000000000284e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.610000000000001152e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.652499999999999802e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.652499999999999802e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.652499999999999802e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.660000000000000087e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.675000000000000655e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.724999999999999589e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.732499999999999873e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.747500000000000442e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.812499999999999944e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.812499999999999944e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.812499999999999944e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.812499999999999944e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.820000000000000229e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.860000000000001097e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.892500000000000016e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.892500000000000016e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.972500000000002029e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.972500000000002029e-01
9.600000000000000000e+01,1.000000000000000000e+00,2.014999999999998737e-01
9.700000000000000000e+01,1.000000000000000000e+00,2.044999999999999873e-01
9.800000000000000000e+01,1.000000000000000000e+00,2.087500000000000466e-01
9.900000000000000000e+01,1.000000000000000000e+00,2.087500000000000466e-01
1.000000000000000000e+02,1.000000000000000000e+00,2.087500000000000466e-01
1.010000000000000000e+02,1.000000000000000000e+00,2.077499999999998792e-01
1.020000000000000000e+02,1.000000000000000000e+00,2.087500000000000466e-01
1.030000000000000000e+02,1.000000000000000000e+00,2.070000000000002116e-01
1.040000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
1.050000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
1.060000000000000000e+02,1.000000000000000000e+00,2.117500000000001603e-01
1.070000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
1.080000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
1.090000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
1.100000000000000000e+02,1.000000000000000000e+00,2.055000000000001548e-01
1.110000000000000000e+02,1.000000000000000000e+00,2.077499999999998792e-01
1.120000000000000000e+02,1.000000000000000000e+00,2.077499999999998792e-01
1.130000000000000000e+02,1.000000000000000000e+00,2.077499999999998792e-01
1.140000000000000000e+02,1.000000000000000000e+00,2.087500000000000466e-01
1.150000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
1.160000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
1.170000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
1.180000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
1.190000000000000000e+02,1.000000000000000000e+00,2.174999999999998879e-01
1.200000000000000000e+02,1.000000000000000000e+00,2.207500000000001406e-01
1.210000000000000000e+02,1.000000000000000000e+00,2.215000000000001690e-01
1.220000000000000000e+02,1.000000000000000000e+00,2.255000000000000893e-01
1.230000000000000000e+02,1.000000000000000000e+00,2.294999999999999818e-01
1.240000000000000000e+02,1.000000000000000000e+00,2.294999999999999818e-01
1.250000000000000000e+02,1.000000000000000000e+00,2.294999999999999818e-01
1.260000000000000000e+02,1.000000000000000000e+00,2.294999999999999818e-01
1.270000000000000000e+02,1.000000000000000000e+00,2.360000000000001263e-01
1.280000000000000000e+02,1.000000000000000000e+00,2.377499999999999614e-01
1.290000000000000000e+02,1.000000000000000000e+00,2.377499999999999614e-01
1.300000000000000000e+02,1.000000000000000000e+00,2.407500000000000751e-01
1.310000000000000000e+02,1.000000000000000000e+00,2.457500000000001350e-01
1.320000000000000000e+02,1.000000000000000000e+00,2.457500000000001350e-01
1.330000000000000000e+02,1.000000000000000000e+00,2.529999999999999472e-01
1.340000000000000000e+02,1.000000000000000000e+00,2.537499999999999756e-01
1.350000000000000000e+02,1.000000000000000000e+00,2.584999999999998965e-01
1.360000000000000000e+02,1.000000000000000000e+00,2.617500000000001492e-01
1.370000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.380000000000000000e+02,1.000000000000000000e+00,2.697499999999999898e-01
1.390000000000000000e+02,1.000000000000000000e+00,2.697499999999999898e-01
1.400000000000000000e+02,1.000000000000000000e+00,2.707500000000001572e-01
1.410000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
1.420000000000000000e+02,1.000000000000000000e+00,2.747500000000000497e-01
1.430000000000000000e+02,1.000000000000000000e+00,2.697499999999999898e-01
1.440000000000000000e+02,1.000000000000000000e+00,2.697499999999999898e-01
1.450000000000000000e+02,1.000000000000000000e+00,2.722500000000002141e-01
1.460000000000000000e+02,1.000000000000000000e+00,2.747500000000000497e-01
1.470000000000000000e+02,1.000000000000000000e+00,2.747500000000000497e-01
1.480000000000000000e+02,1.000000000000000000e+00,2.770000000000001350e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.779999999999999138e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.812500000000001665e-01
1.510000000000000000e+02,1.000000000000000000e+00,2.860000000000001430e-01
1.520000000000000000e+02,1.000000000000000000e+00,2.860000000000001430e-01
1.530000000000000000e+02,1.000000000000000000e+00,2.860000000000001430e-01
1.540000000000000000e+02,1.000000000000000000e+00,2.907500000000000639e-01
1.550000000000000000e+02,1.000000000000000000e+00,2.939999999999999281e-01
1.560000000000000000e+02,1.000000000000000000e+00,2.939999999999999281e-01
1.570000000000000000e+02,1.000000000000000000e+00,2.987499999999999045e-01
1.580000000000000000e+02,1.000000000000000000e+00,3.020000000000001572e-01
1.590000000000000000e+02,1.000000000000000000e+00,3.020000000000001572e-01
1.600000000000000000e+02,1.000000000000000000e+00,3.102500000000000813e-01
1.610000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
1.620000000000000000e+02,1.000000000000000000e+00,3.182499999999999218e-01
1.630000000000000000e+02,1.000000000000000000e+00,3.230000000000002314e-01
1.640000000000000000e+02,1.000000000000000000e+00,3.262500000000000955e-01
1.650000000000000000e+02,1.000000000000000000e+00,3.262500000000000955e-01
1.660000000000000000e+02,1.000000000000000000e+00,3.262500000000000955e-01
1.670000000000000000e+02,1.000000000000000000e+00,3.287499999999999867e-01
1.680000000000000000e+02,1.000000000000000000e+00,3.310000000000000719e-01
1.690000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.700000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.710000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.720000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.730000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.740000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.750000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.760000000000000000e+02,1.000000000000000000e+00,3.342499999999999361e-01
1.770000000000000000e+02,1.000000000000000000e+00,3.352500000000001035e-01
1.780000000000000000e+02,1.000000000000000000e+00,3.424999999999999156e-01
1.790000000000000000e+02,1.000000000000000000e+00,3.424999999999999156e-01
1.800000000000000000e+02,1.000000000000000000e+00,3.424999999999999156e-01
1.810000000000000000e+02,1.000000000000000000e+00,3.432499999999999440e-01
1.820000000000000000e+02,1.000000000000000000e+00,3.447500000000000009e-01
1.830000000000000000e+02,1.000000000000000000e+00,3.480000000000001981e-01
1.840000000000000000e+02,1.000000000000000000e+00,3.505000000000000893e-01
1.850000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.860000000000000000e+02,1.000000000000000000e+00,3.512500000000001177e-01
1.870000000000000000e+02,1.000000000000000000e+00,3.570000000000002061e-01
1.880000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
1.890000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
1.900000000000000000e+02,1.000000000000000000e+00,3.642500000000000182e-01
1.910000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
1.920000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
1.930000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
1.940000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
1.950000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
1.960000000000000000e+02,1.000000000000000000e+00,3.704999999999999960e-01
1.970000000000000000e+02,1.000000000000000000e+00,3.744999999999999440e-01
1.980000000000000000e+02,1.000000000000000000e+00,3.744999999999999440e-01
1.990000000000000000e+02,1.000000000000000000e+00,3.795000000000000040e-01
2.000000000000000000e+02,1.000000000000000000e+00,3.744999999999999440e-01
2.010000000000000000e+02,1.000000000000000000e+00,3.744999999999999440e-01
2.020000000000000000e+02,1.000000000000000000e+00,3.737499999999999156e-01
2.030000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.040000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.050000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.060000000000000000e+02,1.000000000000000000e+00,3.657500000000000751e-01
2.070000000000000000e+02,1.000000000000000000e+00,3.610000000000000986e-01
2.080000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.090000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.100000000000000000e+02,1.000000000000000000e+00,3.599999999999999867e-01
2.110000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.120000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.130000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.140000000000000000e+02,1.000000000000000000e+00,3.570000000000002061e-01
2.150000000000000000e+02,1.000000000000000000e+00,3.520000000000001461e-01
2.160000000000000000e+02,1.000000000000000000e+00,3.527500000000001745e-01
2.170000000000000000e+02,1.000000000000000000e+00,3.527500000000001745e-01
2.180000000000000000e+02,1.000000000000000000e+00,3.570000000000002061e-01
2.190000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.200000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.210000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.220000000000000000e+02,1.000000000000000000e+00,3.584999999999999298e-01
2.230000000000000000e+02,1.000000000000000000e+00,3.642500000000000182e-01
2.240000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.250000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.260000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.270000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.280000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.290000000000000000e+02,1.000000000000000000e+00,3.665000000000001035e-01
2.300000000000000000e+02,1.000000000000000000e+00,3.682499999999999107e-01
2.310000000000000000e+02,1.000000000000000000e+00,3.722500000000001918e-01
2.320000000000000000e+02,1.000000000000000000e+00,3.744999999999999440e-01
2.330000000000000000e+02,1.000000000000000000e+00,3.744999999999999440e-01
2.340000000000000000e+02,1.000000000000000000e+00,3.762500000000000844e-01
2.350000000000000000e+02,1.000000000000000000e+00,3.795000000000000040e-01
2.360000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.370000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.380000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.390000000000000000e+02,1.000000000000000000e+00,3.842499999999999249e-01
2.400000000000000000e+02,1.000000000000000000e+00,3.860000000000001208e-01
2.410000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.420000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.430000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.440000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.450000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.460000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.470000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.480000000000000000e+02,1.000000000000000000e+00,3.915000000000000702e-01
2.490000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.500000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.510000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.520000000000000000e+02,1.000000000000000000e+00,3.932499999999995444e-01
2.530000000000000000e+02,1.000000000000000000e+00,3.980000000000002425e-01
2.540000000000000000e+02,1.000000000000000000e+00,3.987499999999995492e-01
2.550000000000000000e+02,1.000000000000000000e+00,3.994999999999995777e-01
2.560000000000000000e+02,1.000000000000000000e+00,4.060000000000000275e-01
2.570000000000000000e+02,1.000000000000000000e+00,4.060000000000000275e-01
2.580000000000000000e+02,1.000000000000000000e+00,4.067500000000000560e-01
2.590000000000000000e+02,1.000000000000000000e+00,4.084999999999995302e-01
2.600000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
2.610000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
2.620000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
2.630000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
2.640000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
2.650000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
2.660000000000000000e+02,1.000000000000000000e+00,4.067500000000000560e-01
2.670000000000000000e+02,1.000000000000000000e+00,4.067500000000000560e-01
2.680000000000000000e+02,1.000000000000000000e+00,4.012500000000001066e-01
2.690000000000000000e+02,1.000000000000000000e+00,3.987499999999995492e-01
2.700000000000000000e+02,1.000000000000000000e+00,3.980000000000002425e-01
2.710000000000000000e+02,1.000000000000000000e+00,3.932499999999995444e-01
2.720000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.730000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.740000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.750000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.760000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.770000000000000000e+02,1.000000000000000000e+00,3.834999999999998965e-01
2.780000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.790000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.800000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.810000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.820000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
2.830000000000000000e+02,1.000000000000000000e+00,3.849999999999999534e-01
2.840000000000000000e+02,1.000000000000000000e+00,3.889999999999995128e-01
2.850000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.860000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.870000000000000000e+02,1.000000000000000000e+00,3.915000000000000702e-01
2.880000000000000000e+02,1.000000000000000000e+00,3.947499999999996012e-01
2.890000000000000000e+02,1.000000000000000000e+00,3.922500000000000986e-01
2.900000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.910000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.920000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.930000000000000000e+02,1.000000000000000000e+00,3.939999999999995728e-01
2.940000000000000000e+02,1.000000000000000000e+00,3.932499999999995444e-01
2.950000000000000000e+02,1.000000000000000000e+00,3.922500000000000986e-01
2.960000000000000000e+02,1.000000000000000000e+00,3.915000000000000702e-01
2.970000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.980000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
2.990000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
