t,MV,MVP,MVI,MVD,PV,DV,SP,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.774301077253860797e+02,-2.950522683452304022e+02,1.676221606198443226e+02,2.251000000000000156e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.774301077253860797e+02,-2.857864830388235760e+02,1.583563753134375247e+02,2.251000000000000156e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.774301077253860797e+02,-2.770328900167003781e+02,1.496027822913142984e+02,2.251000000000000156e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.774301077253860797e+02,-2.687631764130426291e+02,1.413330686876565210e+02,2.251000000000000156e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.774301077253860797e+02,-2.609505944351412836e+02,1.335204867097552324e+02,2.251000000000000156e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.774301077253860797e+02,-2.535698748495887003e+02,1.261397671242026064e+02,2.251000000000000156e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000002842e+01,1.772064563290935837e+02,-2.461622054167149543e+02,1.189557490876213706e+02,2.257000000000000028e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.763491259766390158e+02,-2.379193232106647429e+02,1.115701972340257413e+02,2.280000000000000071e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000002842e+01,1.762373002784927394e+02,-2.315344975553469737e+02,1.052971972768542344e+02,2.282999999999999829e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.762373002784927394e+02,-2.257138994928603211e+02,9.947659921436758168e+01,2.282999999999999829e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.759763736494848274e+02,-2.197076215155400405e+02,9.373124786605522729e+01,2.289999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.757527222531923314e+02,-2.140914239288357521e+02,8.833870167564342069e+01,2.296000000000000085e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.751563185297456187e+02,-2.080484147418534349e+02,8.289209621210781620e+01,2.312000000000000099e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.750444928315993991e+02,-2.032488515964683131e+02,7.820435876486891402e+01,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.750444928315993991e+02,-1.989258862101439718e+02,7.388139337854455846e+01,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.739635110828523068e+02,-1.927396756686709978e+02,6.877616458581869097e+01,2.344000000000000128e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.738144101519906144e+02,-1.886479202834485136e+02,6.483351013145788500e+01,2.348000000000000043e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.737025844538443664e+02,-1.848465961593348368e+02,6.114401170549046327e+01,2.351000000000000156e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.726216027050972741e+02,-1.793644801332401073e+02,5.674287742814284030e+01,2.380000000000000071e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.726216027050972741e+02,-1.762278583526073419e+02,5.360625564751007488e+01,2.380000000000000071e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
