t,MV,MVP,MVI,MVD,PV,DV,SP,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.904129101153786223e+02,1.653684172837792232e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.812717067962848887e+02,1.562272139646854612e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.726358091425263410e+02,1.475913163109269135e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.644772849654723359e+02,1.394327921338729368e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.567697461066016444e+02,1.317252532750022453e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.494882630869051923e+02,1.244437702553057790e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.426092844742827310e+02,1.175647916426833177e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.750444928315993991e+02,-2.361105607081329936e+02,1.110660678765335803e+02,2.314999999999999858e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
8.000000000000000000e+00,4.999999999999997158e+01,1.742989881772910508e+02,-2.285212726879244940e+02,1.042222845106334432e+02,2.335000000000000142e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.740753367809985548e+02,-2.223251536109420385e+02,9.824981682994346954e+01,2.341000000000000014e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.738144101519906144e+02,-2.163866894724943108e+02,9.257227932050371066e+01,2.348000000000000043e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.738144101519906144e+02,-2.112694969584696310e+02,8.745508680647903077e+01,2.348000000000000043e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.738144101519906144e+02,-2.064351716204267859e+02,8.262076146843617153e+01,2.348000000000000043e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.738144101519906144e+02,-2.018680771814368029e+02,7.805366702944618851e+01,2.348000000000000043e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.732180064285439585e+02,-1.963936021461933024e+02,7.317559571764935811e+01,2.364000000000000057e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.726216027050972741e+02,-1.911887761914610451e+02,6.856717348636378517e+01,2.380000000000000071e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.726216027050972741e+02,-1.873985332650935902e+02,6.477693055999633032e+01,2.380000000000000071e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
