t,MV,MVP,MVI,MVD,PV,DV,SP,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.395584712865221775e+02,-2.214024564463325078e+02,1.318439851598103303e+02,2.767000000000000171e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+00,4.999999999999997158e+01,1.395584712865221775e+02,-2.141144101885201110e+02,1.245559389019979335e+02,2.767000000000000171e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+00,4.999999999999997158e+01,1.397075722173838699e+02,-2.075191910285520009e+02,1.178116188111681311e+02,2.762999999999999901e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.400430493118226138e+02,-2.016592329490954114e+02,1.116161836372727976e+02,2.753999999999999915e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.401921502426842778e+02,-1.957792950726820322e+02,1.055871448299977544e+02,2.750000000000000000e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.399312236136763374e+02,-1.894352395391599657e+02,9.950401592548361407e+01,2.757000000000000028e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.400430493118226138e+02,-1.841523457496108449e+02,9.410929643778824527e+01,2.753999999999999915e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.400430493118226138e+02,-1.789501903012798607e+02,8.890714098945723265e+01,2.753999999999999915e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.400430493118226138e+02,-1.740355985935458136e+02,8.399254928172319978e+01,2.753999999999999915e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.400430493118226138e+02,-1.693926747336913081e+02,7.934962542186869427e+01,2.753999999999999915e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.397075722173838699e+02,-1.643539917680027145e+02,7.464641955061884460e+01,2.762999999999999901e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.395584712865221775e+02,-1.599377415666021420e+02,7.037927028007996455e+01,2.767000000000000171e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.395584712865221775e+02,-1.560473299048902049e+02,6.648885861836801325e+01,2.767000000000000171e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.395584712865221775e+02,-1.523719716649791849e+02,6.281350037845699319e+01,2.767000000000000171e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.395584712865221775e+02,-1.488997791655002061e+02,5.934130787897801440e+01,2.767000000000000171e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.395584712865221775e+02,-1.456195218500309920e+02,5.606105056350882165e+01,2.767000000000000171e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.387384161667829972e+02,-1.409258105711589906e+02,5.218739440437600052e+01,2.789000000000000057e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.383656638396288372e+02,-1.373161061747611598e+02,4.895044233513230836e+01,2.798999999999999844e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.383656638396288372e+02,-1.346102331108788803e+02,4.624456927125005024e+01,2.798999999999999844e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.382538381414825892e+02,-1.318364648567483641e+02,4.358262671526577492e+01,2.801999999999999957e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.375456087198896284e+02,-1.280500033898298398e+02,4.050439466994021842e+01,2.821000000000000085e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.371728563927354685e+02,-1.250861095883663552e+02,3.791325319563089380e+01,2.830999999999999872e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.371728563927354685e+02,-1.229903481265219796e+02,3.581749173378651818e+01,2.830999999999999872e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.363155260402808722e+02,-1.193431663967143379e+02,3.302764035643347285e+01,2.853999999999999915e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.359800489458421282e+02,-1.168650611433982931e+02,3.088501219755617200e+01,2.862999999999999901e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.359800489458421282e+02,-1.151578054252398147e+02,2.917775647939767936e+01,2.862999999999999901e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.600000000000000000e+01,4.999999999999998579e+01,1.356072966186879398e+02,-1.128200233343569181e+02,2.721272671566897827e+01,2.873000000000000043e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.700000000000000000e+01,4.999999999999998579e+01,1.347499662662333435e+02,-1.096484941374549891e+02,2.489852787122164557e+01,2.896000000000000085e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.347499662662333435e+02,-1.082721581395940120e+02,2.352219187336067208e+01,2.896000000000000085e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.338180854483479152e+02,-1.051596536677270421e+02,2.134156821937913406e+01,2.921000000000000085e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.335571588193400032e+02,-1.034725087897047047e+02,1.991534997036470500e+01,2.928000000000000114e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,1.334453331211937268e+02,-1.021541620169890905e+02,1.870882889579535657e+01,2.930999999999999872e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
