t,MV,MVP,MVI,MVD,PV,DV,SP,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.499209859814081653e+02,-2.415546687572514202e+02,1.416336827758432548e+02,2.489000000000000057e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+00,4.999999999999997158e+01,1.495482336542540054e+02,-2.330005697686337101e+02,1.334523361143797047e+02,2.498999999999999844e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.500328116795544133e+02,-2.265659870389220032e+02,1.265331753593675899e+02,2.485999999999999943e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.497718850505465014e+02,-2.190640808895333294e+02,1.192921958389868138e+02,2.492999999999999972e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.497718850505465014e+02,-2.124698700090238503e+02,1.126979849584773348e+02,2.492999999999999972e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.497718850505465014e+02,-2.062401726394846833e+02,1.064682875889381819e+02,2.492999999999999972e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.497718850505465014e+02,-2.003548392737060340e+02,1.005829542231595468e+02,2.492999999999999972e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.492873070252460650e+02,-1.938524645845936334e+02,9.456515755934755418e+01,2.505999999999999872e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.491754813270998170e+02,-1.884076402165152331e+02,8.923215888941541607e+01,2.508999999999999986e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.492873070252460650e+02,-1.836925521493262181e+02,8.440524512408013891e+01,2.505999999999999872e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.491754813270998170e+02,-1.788093454516618408e+02,7.963386412456200958e+01,2.508999999999999986e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.491754813270998170e+02,-1.744073601451294735e+02,7.523187881802965649e+01,2.508999999999999986e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.491754813270998170e+02,-1.702487069291838111e+02,7.107322560208399409e+01,2.508999999999999986e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.488400042326610730e+02,-1.656675251886108526e+02,6.682752095594977959e+01,2.517999999999999972e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.483554262073606367e+02,-1.610310767972034682e+02,6.267565058984282444e+01,2.530999999999999872e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.479826738802064767e+02,-1.568416046082072910e+02,5.885893072800081427e+01,2.541000000000000014e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.479826738802064767e+02,-1.535880120433960201e+02,5.560533816318955047e+01,2.541000000000000014e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.471253435277518804e+02,-1.488470015739217729e+02,5.172165804616988538e+01,2.564000000000000057e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.467898664333131080e+02,-1.453355320340057233e+02,4.854566560069260817e+01,2.573000000000000043e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.467898664333131080e+02,-1.426520341399964593e+02,4.586216770668334419e+01,2.573000000000000043e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.465289398043052245e+02,-1.396094443160697267e+02,4.308050451176450224e+01,2.580000000000000071e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.457088846845660441e+02,-1.356332691459713260e+02,3.992438446140529607e+01,2.601999999999999957e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.455970589864197677e+02,-1.332088668427883249e+02,3.761180785636857138e+01,2.605000000000000071e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.449633800302576674e+02,-1.298974390881775207e+02,3.493405905791983912e+01,2.621999999999999886e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.443669763068110115e+02,-1.268065213849905604e+02,3.243954507817955601e+01,2.637999999999999901e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000001421e+01,1.443669763068110115e+02,-1.250133344995547731e+02,3.064635819274376161e+01,2.637999999999999901e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
