t,MV,MVP,MVI,MVD,PV,DV,SP,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.426990402100817050e+02,-4.219822099150831036e+02,2.292831697050013702e+02,4.255289636544513598e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000001421e+01,8.408212873638167650e+01,-1.008421112416271370e+02,6.675998250524546052e+01,4.256240334432645511e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,8.404669125135950480e+01,-9.708284980443048084e+01,6.303615855307098315e+01,4.258088398496742855e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,8.397780423329727739e+01,-9.346438313663892927e+01,5.948657890334165899e+01,4.260783088113105066e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,8.387735905075155074e+01,-8.998075758188238638e+01,5.610339853113082853e+01,4.264276130870413795e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.999999999999998579e+01,8.374715506908796669e+01,-8.662627421891080814e+01,5.287911914982284145e+01,4.268521605494630933e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.999999999999998579e+01,8.358890401448287832e+01,-8.339547818143201141e+01,4.980657416694913309e+01,4.273475830301261169e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,8.340423413189124346e+01,-8.028314840887921378e+01,4.687891427698796321e+01,4.279097256914222669e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,8.319469414670045637e+01,-7.728428781180085139e+01,4.408959366510038791e+01,4.285346369002924405e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,8.296175703932938461e+01,-7.439411383610793393e+01,4.143235679677854932e+01,4.292185585800824299e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,8.270682364159647193e+01,-7.160804941095113918e+01,3.890122576935467436e+01,4.299579170179907806e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,8.243122606326505775e+01,-6.892171426552036451e+01,3.649048820225530676e+01,4.307493141066196074e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,8.213623095677561992e+01,-6.633091660056314254e+01,3.419468564378752262e+01,4.315895189991485381e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,8.182304262779913984e+01,-6.383164510091542354e+01,3.200860247311628370e+01,4.324754601586209901e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,8.149280599888412269e+01,-6.142006127581454678e+01,2.992725527693042409e+01,4.334042177827515729e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,8.114660943312726715e+01,-5.909249211423181691e+01,2.794588268110454621e+01,4.343730165865383697e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,8.078548742447155462e+01,-5.684542304291578318e+01,2.605993561844422501e+01,4.353792189258025758e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,8.041042316092286057e+01,-5.467549117527508429e+01,2.426506801435222727e+01,4.364203182455698027e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,8.002235096668098890e+01,-5.257947883965952940e+01,2.255712787297854049e+01,4.374939328379721815e+01,5.000000000000000000e+01,6.510999999999999943e+01,1.000000000000000000e+00
